Charging Start Time,Charging Duration (minutes),Energy Delivered (kWh)
2025-12-20T23:33:38-05:00,303,49.0
2025-12-21T09:37:20-05:00,177.9,28.5
2025-12-21T13:05:25-05:00,117.1,12.0
2025-12-21T15:37:24-05:00,95.63333333333334,15.5
2025-12-21T17:19:20-05:00,142.63333333333333,11.9
2025-12-21T19:52:04-05:00,75.45,8.3
2025-12-21T21:22:07-05:00,134.28333333333333,12.0
2025-12-22T09:15:30-05:00,105.86666666666666,10.4
2025-12-22T12:49:05-05:00,347.65,47.0
2025-12-22T18:39:10-05:00,188.68333333333334,30.4
2025-12-22T22:19:07-05:00,125.8,13.3
2025-12-23T08:00:39-05:00,74.61666666666666,7.9
2025-12-23T10:36:43-05:00,119.86666666666666,15.9
2025-12-23T13:18:11-05:00,191.96666666666667,30.9
2025-12-23T17:28:47-05:00,198.98333333333332,32.4
2025-12-23T20:54:24-05:00,214.86666666666667,34.6
2025-12-24T08:32:29-05:00,280.25,45.1
2025-12-24T14:03:44-05:00,172.46666666666667,9.2
2025-12-24T17:44:19-05:00,100.55,16.3
2025-12-24T22:06:02-05:00,332.93333333333334,44.5
2025-12-25T13:46:58-05:00,98.16666666666667,8.3
2025-12-25T16:16:19-05:00,25.216666666666665,4.0
2025-12-25T18:02:18-05:00,182.06666666666666,24.5
2025-12-25T21:10:13-05:00,220.65,35.9
2025-12-26T12:57:50-05:00,233.53333333333333,25.3
2025-12-26T17:03:17-05:00,168.18333333333334,27.4
2025-12-26T21:28:44-05:00,25.15,3.9
2025-12-26T21:53:51-05:00,217.26666666666668,18.6
2025-12-27T08:37:16-05:00,152.81666666666666,16.7
2025-12-27T12:04:00-05:00,48.45,7.7
2025-12-27T14:25:25-05:00,117.81666666666666,18.9
2025-12-27T16:50:20-05:00,161.35,19.9
2025-12-28T07:55:18-05:00,135.75,21.8
2025-12-28T13:16:30-05:00,124.55,14.5
2025-12-28T16:06:14-05:00,147.93333333333334,8.3
2025-12-28T18:45:47-05:00,197.26666666666668,31.8
2025-12-28T22:19:11-05:00,120.76666666666667,19.6
2025-12-29T10:38:42-05:00,79.61666666666666,12.8
2025-12-29T14:08:15-05:00,184.76666666666668,29.9
2025-12-29T19:06:51-05:00,100.48333333333333,16.3
2025-12-29T21:22:18-05:00,57.43333333333333,9.3
2025-12-29T23:51:50-05:00,133.7,15.4
2025-12-30T05:33:10-05:00,59.68333333333333,9.5
2025-12-30T09:58:57-05:00,94.9,15.1
2025-12-30T13:20:09-05:00,96.03333333333333,15.4
2025-12-30T17:03:38-05:00,138.2,22.5
2025-12-30T20:27:10-05:00,148.68333333333334,16.5
2025-12-30T23:48:45-05:00,301.78333333333336,49.2
2025-12-31T09:18:27-05:00,172.76666666666668,9.2
2025-12-31T12:41:10-05:00,166.83333333333334,21.2
2025-12-31T15:36:50-05:00,46.2,7.4
2025-12-31T16:56:56-05:00,105.4,11.3
2025-12-31T18:44:23-05:00,141.98333333333332,23.0
2025-12-31T22:21:31-05:00,135.21666666666667,21.9
